"token","n","party"
"century",33,"democratic"
"child",30,"democratic"
"generation",30,"democratic"
"life",29,"democratic"
"man",28,"democratic"
"land",24,"democratic"
"power",24,"democratic"
"democracy",23,"democratic"
"freedom",21,"democratic"
"history",19,"democratic"
"promise",19,"democratic"
"work",19,"democratic"
"freedom",64,"republican"
"peace",44,"republican"
"life",37,"republican"
"history",36,"republican"
"man",30,"republican"
"power",24,"republican"
"responsibility",24,"republican"
"dream",22,"republican"
"work",21,"republican"
"heart",20,"republican"
"hope",20,"republican"
