"party","token","n","tf","idf","tf_idf"
"previous","condition",83,0.0033978793957506,1.09861228866811,0.00373295205958378
"previous","importance",45,0.00184222376878045,1.09861228866811,0.00202388967085868
"previous","legislation",43,0.00176034715683465,1.09861228866811,0.00193393901882051
"democratic","forebear",5,0.00168406871000337,1.09861228866811,0.00185013857977115
"previous","policy",108,0.00442133704507307,0.405465108108164,0.00179269790296319
"previous","expenditure",39,0.00159659393294305,1.09861228866811,0.00175403771474419
"previous","consideration",38,0.00155565562697016,1.09861228866811,0.00170906238872511
"previous","section",37,0.00151471732099726,1.09861228866811,0.00166408706270602
"previous","portion",36,0.00147377901502436,1.09861228866811,0.00161911173668694
"previous","method",35,0.00143284070905146,1.09861228866811,0.00157413641066786
"previous","population",35,0.00143284070905146,1.09861228866811,0.00157413641066786
"democratic","virus",4,0.00134725496800269,1.09861228866811,0.00148011086381692
"republican","policy",12,0.00334541399498188,0.405465108108164,0.00135644864714189
"republican","moon",4,0.00111513799832729,1.09861228866811,0.00122510430852312
"democratic","globe",7,0.00235769619400472,0.405465108108164,0.00095596354218833
"republican","compassion",8,0.00223027599665459,0.405465108108164,0.000904299098094596
"democratic","covenant",6,0.00202088245200404,0.405465108108164,0.000819397321875711
"democratic","path",6,0.00202088245200404,0.405465108108164,0.000819397321875711
"democratic","commerce",5,0.00168406871000337,0.405465108108164,0.000682831101563093
"republican","decade",6,0.00167270699749094,0.405465108108164,0.000678224323570947
"republican","inflation",6,0.00167270699749094,0.405465108108164,0.000678224323570947
"republican","money",6,0.00167270699749094,0.405465108108164,0.000678224323570947
"republican","civility",5,0.00139392249790912,0.405465108108164,0.000565186936309122
"republican","hatred",5,0.00139392249790912,0.405465108108164,0.000565186936309122
"republican","tradition",5,0.00139392249790912,0.405465108108164,0.000565186936309122
"republican","worker",5,0.00139392249790912,0.405465108108164,0.000565186936309122
"democratic","celebration",4,0.00134725496800269,0.405465108108164,0.000546264881250474
"democratic","foe",4,0.00134725496800269,0.405465108108164,0.000546264881250474
"democratic","hardship",4,0.00134725496800269,0.405465108108164,0.000546264881250474
"democratic","hatred",4,0.00134725496800269,0.405465108108164,0.000546264881250474
