"party","token","n","tf","idf","tf_idf"
"previous","condition",83,0.00165533196386191,1.09861228866811,0.00181856803732381
"previous","proper",65,0.00129634430904848,1.09861228866811,0.00142417978826563
"previous","importance",45,0.000897469137033565,1.09861228866811,0.000985970622645439
"previous","legislation",43,0.000857581619832074,1.09861228866811,0.000942149706083419
"previous","wise",41,0.000817694102630582,1.09861228866811,0.0008983287895214
"previous","policy",108,0.00215392592888056,0.405465108108164,0.000873341809610533
"democratic","forebear",5,0.000789016884961338,1.09861228866811,0.000866823645785158
"previous","expenditure",39,0.00077780658542909,1.09861228866811,0.00085450787295938
"previous","consideration",38,0.000757862826828344,1.09861228866811,0.00083259741467837
"previous","section",37,0.000737919068227598,1.09861228866811,0.000810686956397361
"previous","discharge",36,0.000717975309626852,1.09861228866811,0.000788776498116351
"democratic","timeless",4,0.00063121350796907,1.09861228866811,0.000693458916628127
"democratic","virus",4,0.00063121350796907,1.09861228866811,0.000693458916628127
"republican","policy",12,0.00153727901614143,0.405465108108164,0.000623313002472197
"democratic","forth",8,0.00126242701593814,0.405465108108164,0.000511870106496026
"republican","federal",9,0.00115295926210607,0.405465108108164,0.000467484751854148
"democratic","globe",7,0.00110462363894587,0.405465108108164,0.000447886343184023
"republican","compassion",8,0.00102485267742762,0.405465108108164,0.000415542001648132
"democratic","covenant",6,0.000946820261953606,0.405465108108164,0.000383902579872019
"democratic","path",6,0.000946820261953606,0.405465108108164,0.000383902579872019
"democratic","rise",6,0.000946820261953606,0.405465108108164,0.000383902579872019
"republican","nuclear",7,0.000896746092749167,0.405465108108164,0.000363599251442115
"democratic","commerce",5,0.000789016884961338,0.405465108108164,0.000319918816560016
"republican","inflation",6,0.000768639508070715,0.405465108108164,0.000311656501236099
"republican","large",6,0.000768639508070715,0.405465108108164,0.000311656501236099
"republican","limit",6,0.000768639508070715,0.405465108108164,0.000311656501236099
"republican","money",6,0.000768639508070715,0.405465108108164,0.000311656501236099
"republican","black",5,0.000640532923392262,0.405465108108164,0.000259713751030082
"republican","civility",5,0.000640532923392262,0.405465108108164,0.000259713751030082
"democratic","bridge",4,0.00063121350796907,0.405465108108164,0.000255935053248013
