"word1","word2","n"
"fellow","citizen",11
"man","woman",8
"health","care",7
"land","new",6
"new","century",6
"th","century",6
"american","people",5
"create","equal",5
"journey","complete",5
"let","side",5
"new","promise",5
"new","world",5
"answer","call",4
"be","much",4
"do","do",4
"let","begin",4
"middle","class",4
"much","do",4
"st","century",4
"american","story",3
"century","let",3
"change","change",3
"child","child",3
"citizen","world",3
"common","object",3
"fascism","communism",3
"good","life",3
"government","do",3
"great","nation",3
"let","say",3
"liberty","pursuit",3
"life","liberty",3
"new","era",3
"new","job",3
"oath","swear",3
"oath","take",3
"object","love",3
"other","nation",3
"own","way",3
"pass","new",3
"people","believe",3
"perfect","union",3
"place","man",3
"precious","gift",3
"pursuit","happiness",3
"sacred","oath",3
"thank","bless",3
"time","change",3
"whole","soul",3
"will","people",3
"word","speak",3
"work","do",3
"world","change",3
"year","year",3
"act","know",2
"american","covenant",2
"american","dream",2
"american","renewal",2
"ask","do",2
"ask","join",2
"bad","habit",2
"be","little",2
"be","work",2
"become","nation",2
"begin","anew",2
"begin","th",2
"blood","draw",2
"bring","new",2
"build","road",2
"call","bear",2
"call","history",2
"call","service",2
"cause","cause",2
"celebrate","today",2
"century","choice",2
"challenge","new",2
"challenge","today",2
"change","friend",2
"chapter","history",2
"child","future",2
"child","say",2
"citizen","citizen",2
"citizen","have",2
"civil","right",2
"cold","war",2
"common","danger",2
"common","purpose",2
"cost","health",2
"country","do",2
"create","new",2
"debate","role",2
"define","common",2
"depth","winter",2
"dignity","respect",2
"distinguish","guest",2
"do","work",2
"doesn","have",2
"dream","labor",2
"economy","world",2
"face","common",2
"fair","play",2
"fear","unity",2
"find","support",2
"finish","first",2
"first","day",2
"first","time",2
"force","good",2
"force","spring",2
"form","human",2
"found","document",2
"found","principle",2
"free","man",2
"full","measure",2
"future","generation",2
"generation","build",2
"generation","face",2
"generation","task",2
"gift","time",2
"give","good",2
"give","new",2
"good","ill",2
"good","job",2
"good","world",2
"government","new",2
"great","mall",2
"great","progress",2
"great","strength",2
"guest","fellow",2
"hard","choice",2
"hard","work",2
"have","duty",2
"have","go",2
"have","much",2
"high","standard",2
"history","carry",2
"hope","fear",2
"hope","virtue",2
"human","life",2
"individual","freedom",2
"information","age",2
"journey","go",2
"justice","liberty",2
"justice","make",2
"know","have",2
"know","price",2
"know","work",2
"last","year",2
"let","add",2
"let","build",2
"let","embrace",2
"let","go",2
"let","remember",2
"let","resolve",2
"liberty","union",2
"life","million",2
"light","world",2
"little","do",2
