"item1","item2","correlation"
"new","great",0.437322204098702
"great","new",0.437322204098702
"come","people",0.42612164952794
"people","come",0.42612164952794
"other","life",0.406417664035542
"life","other",0.406417664035542
"be","other",0.406417664035542
"other","be",0.406417664035542
"nation","people",0.400924545025766
"people","nation",0.400924545025766
"new","people",0.399415745683432
"people","new",0.399415745683432
"know","nation",0.39727607885233
"nation","know",0.39727607885233
"change","make",0.394039964597919
"make","change",0.394039964597919
"own","nation",0.391424067057231
"nation","own",0.391424067057231
"change","today",0.387406837489107
"change","new",0.387406837489107
"today","change",0.387406837489107
"new","change",0.387406837489107
"citizen","fellow",0.373482386460936
"fellow","citizen",0.373482386460936
"change","people",0.359809632254252
"people","change",0.359809632254252
"change","history",0.350814751100728
"history","change",0.350814751100728
"citizen","change",0.350746268656716
"change","citizen",0.350746268656716
"land","people",0.347771027437685
"people","land",0.347771027437685
"change","know",0.342074444197655
"know","change",0.342074444197655
"government","nation",0.331680393664285
"nation","government",0.331680393664285
"be","life",0.330769230769231
"life","be",0.330769230769231
"promise","have",0.317101248394372
"have","promise",0.317101248394372
"man","own",0.313531953633668
"own","man",0.313531953633668
"know","people",0.3123663847732
"people","know",0.3123663847732
"man","generation",0.310852681558495
"generation","man",0.310852681558495
"life","power",0.310633319493621
"be","power",0.310633319493621
"power","life",0.310633319493621
"power","be",0.310633319493621
"have","come",0.310493911606105
"come","have",0.310493911606105
"new","american",0.305478328327688
"american","new",0.305478328327688
"land","today",0.305096458393383
"land","new",0.305096458393383
"freedom","new",0.305096458393383
"today","land",0.305096458393383
"new","land",0.305096458393383
"new","freedom",0.305096458393383
"change","nation",0.304799786243289
"nation","change",0.304799786243289
"do","way",0.302480836933595
"way","do",0.302480836933595
"world","make",0.30171835548068
"make","world",0.30171835548068
"change","great",0.299762599536712
"great","change",0.299762599536712
"world","today",0.297429285798689
"today","world",0.297429285798689
"american","history",0.296182013576517
"history","american",0.296182013576517
"land","american",0.296182013576517
"american","land",0.296182013576517
"citizen","day",0.291929210348399
"change","american",0.291929210348399
"american","change",0.291929210348399
"day","citizen",0.291929210348399
"great","day",0.291896819007987
"day","great",0.291896819007987
"be","way",0.290390328733922
"way","be",0.290390328733922
"freedom","people",0.289697938402985
"government","people",0.289697938402985
"people","freedom",0.289697938402985
"people","government",0.289697938402985
"great","people",0.28909965183359
"people","great",0.28909965183359
"citizen","promise",0.285820895522388
"promise","citizen",0.285820895522388
"nation","century",0.283403318102422
"century","nation",0.283403318102422
"promise","know",0.28302587942544
"citizen","know",0.28302587942544
"know","promise",0.28302587942544
"know","citizen",0.28302587942544
"time","people",0.282670216108641
"people","time",0.282670216108641
"land","promise",0.281918851900359
"freedom","promise",0.281918851900359
"promise","land",0.281918851900359
"promise","freedom",0.281918851900359
"work","know",0.27907021398171
"know","work",0.27907021398171
"man","today",0.277698990679516
"be","new",0.277698990679516
"man","new",0.277698990679516
"new","be",0.277698990679516
"today","man",0.277698990679516
"new","man",0.277698990679516
"today","challenge",0.276099517117329
"challenge","today",0.276099517117329
"promise","new",0.27598735034348
"citizen","let",0.27598735034348
"new","promise",0.27598735034348
"let","citizen",0.27598735034348
"time","much",0.275854634220234
"much","time",0.275854634220234
"change","good",0.273991009351405
"good","change",0.273991009351405
"work","way",0.271729780110286
"way","work",0.271729780110286
"know","way",0.270715373378447
"way","know",0.270715373378447
"century","people",0.26947693047612
"american","people",0.26947693047612
"generation","people",0.26947693047612
"people","century",0.26947693047612
"people","american",0.26947693047612
"people","generation",0.26947693047612
"freedom","history",0.26890756302521
"freedom","land",0.26890756302521
"history","freedom",0.26890756302521
"land","freedom",0.26890756302521
"have","people",0.265533401944687
"people","have",0.265533401944687
"land","make",0.263963940139119
"make","land",0.263963940139119
"change","time",0.263070791840665
"promise","time",0.263070791840665
"time","change",0.263070791840665
"time","promise",0.263070791840665
"citizen","way",0.260451030611792
"way","citizen",0.260451030611792
"new","know",0.260324067785943
"let","know",0.260324067785943
"know","new",0.260324067785943
"know","let",0.260324067785943
"work","do",0.259260367552929
"do","work",0.259260367552929
"stand","year",0.257525009255184
"year","stand",0.257525009255184
"way","people",0.256779830742247
"people","way",0.256779830742247
"citizen","have",0.256734052310542
"have","citizen",0.256734052310542
"freedom","world",0.255269291373431
"world","freedom",0.255269291373431
"century","challenge",0.253647609123774
"challenge","century",0.253647609123774
"make","good",0.25282707174518
"good","make",0.25282707174518
"american","today",0.25232509919867
"today","american",0.25232509919867
"citizen","people",0.250357051813273
"people","citizen",0.250357051813273
"make","today",0.249331917378317
"today","make",0.249331917378317
"new","make",0.249331917378317
"make","new",0.249331917378317
"own","way",0.249234609624175
"way","own",0.249234609624175
"new","time",0.249197012119228
"time","new",0.249197012119228
"year","life",0.248984911121314
"life","year",0.248984911121314
