"word1","word2","n"
"fellow","citizen",10
"thank","thank",10
"man","woman",9
"government","people",7
"federal","government",6
"people","world",6
"first","time",5
"great","nation",5
"let","resolve",5
"other","nation",5
"peace","world",5
"people","do",5
"do","do",4
"have","right",4
"human","dignity",4
"human","freedom",4
"nuclear","weapon",4
"old","policy",4
"other","country",4
"past","year",4
"self","government",4
"structure","peace",4
"ten","million",4
"time","history",4
"transfer","power",4
"world","see",4
"year","come",4
"3","century",3
"american","people",3
"american","worker",3
"bless","bless",3
"cause","freedom",3
"challenge","face",3
"child","child",3
"common","sense",3
"create","nation",3
"do","government",3
"do","much",3
"dream","come",3
"freedom","be",3
"generation","come",3
"government","do",3
"great","honor",3
"great","thing",3
"have","government",3
"have","great",3
"ideal","freedom",3
"let","go",3
"let","proud",3
"make","country",3
"make","dream",3
"make","great",3
"make","other",3
"many","year",3
"million","people",3
"much","money",3
"nation","have",3
"nation","world",3
"new","era",3
"new","world",3
"other","do",3
"own","destiny",3
"own","heart",3
"peace","come",3
"peace","nation",3
"peace","seek",3
"preserve","peace",3
"public","interest",3
"renew","faith",3
"respect","right",3
"simple","thing",3
"single","day",3
"spend","much",3
"take","place",3
"th","anniversary",3
"thank","bless",3
"time","come",3
"time","people",3
"turn","old",3
"vice","fellow",3
"year","have",3
"act","meet",2
"act","worthy",2
"age","begin",2
"american","citizen",2
"american","dream",2
"angel","ride",2
"anniversary","nation",2
"ask","government",2
"beacon","hope",2
"bear","equal",2
"believe","fate",2
"black","white",2
"bless","land",2
"border","refuse",2
"build","great",2
"build","new",2
"build","structure",2
"call","do",2
"carry","message",2
"cause","large",2
"celebrate","th",2
"change","start",2
"child","safe",2
"child","teach",2
"church","charity",2
"citizen","great",2
"come","true",2
"come","turn",2
"come","year",2
"common","good",2
"control","government",2
"country","american",2
"country","forget",2
"country","love",2
"country","make",2
"country","rich",2
"country","world",2
"day","go",2
"declare","national",2
"defend","constitution",2
"defend","own",2
"depend","private",2
"direct","storm",2
"distinguish","guest",2
"divide","world",2
"do","go",2
"do","great",2
"do","have",2
"do","people",2
"do","share",2
"do","utmost",2
"dream","hope",2
"education","system",2
"end","tyranny",2
"entire","world",2
"equal","dignity",2
"equal","opportunity",2
"era","national",2
"era","negotiation",2
"executive","order",2
"family","tax",2
"fate","fall",2
"federal","establishment",2
"force","arm",2
"free","government",2
"free","nation",2
"freedom","come",2
"freedom","dignity",2
"future","generation",2
"give","people",2
"glorious","destiny",2
"go","bring",2
"go","change",2
"goal","be",2
"golden","age",2
"good","chance",2
"good","country",2
"good","hope",2
"good","place",2
"good","way",2
"good","will",2
"government","be",2
"government","government",2
"government","have",2
"government","program",2
"government","provide",2
"great","american",2
"great","national",2
"great","responsibility",2
"grow","economy",2
"growth","government",2
"guest","fellow",2
"happiness","liberty",2
"have","capacity",2
"have","chance",2
"have","do",2
"have","power",2
"heal","sick",2
"hear","voice",2
"heart","hand",2
"help","make",2
"help","other",2
"hero","speak",2
"high","responsibility",2
"hope","goal",2
"human","progress",2
"immense","power",2
"indispensable","preserve",2
"individual","liberty",2
"inner","city",2
"interest","depend",2
"interest","group",2
"kill","ten",2
"law","enforcement",2
"lead","world",2
"leader","world",2
"let","ask",2
"let","make",2
"let","remember",2
"let","renew",2
"let","take",2
"let","understand",2
"level","respect",2
"life","law",2
"life","let",2
"local","government",2
"look","future",2
"make","progress",2
"make","promise",2
"make","strong",2
"make","sufficient",2
"man","great",2
"manufacture","nation",2
"many","citizen",2
"measure","do",2
"meet","challenge",2
"meet","responsibility",2
"million","million",2
"money","spend",2
"much","deliver",2
"much","people",2
"nation","do",2
"nation","government",2
"nation","promise",2
"nation","speak",2
"national","government",2
"national","life",2
"national","security",2
"need","do",2
"need","know",2
"new","age",2
"new","level",2
"new","policy",2
"new","retreat",2
"new","way",2
"next","year",2
"order","make",2
"order","stop",2
"orderly","transfer",2
"other","people",2
"own","freedom",2
"own","future",2
"own","life",2
"own","people",2
"peaceful","transfer",2
"peacemaker","unifier",2
"people","determine",2
"people","live",2
"people","welfare",2
"place","call",2
"place","long",2
"policy","fail",2
"policy","new",2
"political","party",2
"power","grant",2
"presidential","election",2
"private","character",2
"problem","confront",2
"prosper","other",2
"provide","opportunity",2
"public","health",2
"rebuild","country",2
