"item1","item2","correlation"
"history","much",0.47275719077598
"much","history",0.47275719077598
"peace","world",0.467660882351348
"world","peace",0.467660882351348
"do","let",0.432973805855162
"let","do",0.432973805855162
"hope","world",0.413954700856074
"world","hope",0.413954700856074
"many","be",0.409117555190937
"be","many",0.409117555190937
"know","let",0.405618813855744
"know","do",0.405618813855744
"let","know",0.405618813855744
"do","know",0.405618813855744
"own","government",0.403647559642117
"government","own",0.403647559642117
"history","begin",0.400328808694125
"begin","history",0.400328808694125
"life","do",0.3983178396181
"do","life",0.3983178396181
"human","freedom",0.395439437619946
"freedom","human",0.395439437619946
"come","freedom",0.389732999395471
"freedom","come",0.389732999395471
"need","know",0.384371106798037
"know","need",0.384371106798037
"see","do",0.381474805038235
"do","see",0.381474805038235
"history","time",0.381152181637947
"time","history",0.381152181637947
"power","begin",0.379750238417733
"begin","power",0.379750238417733
"need","let",0.377197142951224
"let","need",0.377197142951224
"hope","american",0.374804413367467
"american","hope",0.374804413367467
"help","government",0.374522890136863
"government","help",0.374522890136863
"right","have",0.360801951534061
"have","right",0.360801951534061
"good","hope",0.360320093215215
"hope","good",0.360320093215215
"country","much",0.360041149911548
"much","country",0.360041149911548
"responsibility","come",0.359822358216008
"come","responsibility",0.359822358216008
"year","day",0.357531662568978
"day","year",0.357531662568978
"have","country",0.355086808475298
"country","have",0.355086808475298
"need","man",0.353434688373863
"man","need",0.353434688373863
"power","year",0.352312984557631
"help","year",0.352312984557631
"year","power",0.352312984557631
"year","help",0.352312984557631
"need","life",0.350834434604352
"life","need",0.350834434604352
"let","new",0.349973194176326
"new","let",0.349973194176326
"today","have",0.34685598377282
"have","today",0.34685598377282
"live","great",0.346039258002751
"great","live",0.346039258002751
"peace","much",0.344540929414468
"much","peace",0.344540929414468
"be","country",0.341647796309616
"country","be",0.341647796309616
"responsibility","nation",0.339599902902663
"nation","responsibility",0.339599902902663
"people","time",0.333018294670721
"time","people",0.333018294670721
"american","great",0.332413519584238
"great","american",0.332413519584238
"many","today",0.331724231367459
"today","many",0.331724231367459
"today","government",0.327709062316126
"government","today",0.327709062316126
"come","people",0.326054653518191
"people","come",0.326054653518191
"new","begin",0.325980898640897
"begin","new",0.325980898640897
"build","go",0.325552051795504
"go","build",0.325552051795504
"need","bring",0.325029391969566
"bring","need",0.325029391969566
"work","government",0.323152805970617
"government","work",0.323152805970617
"history","year",0.321833846208237
"year","history",0.321833846208237
"stand","take",0.320555709653185
"take","stand",0.320555709653185
"peace","hope",0.319833355672609
"hope","peace",0.319833355672609
"power","government",0.319216139105416
"dream","government",0.319216139105416
"government","power",0.319216139105416
"government","dream",0.319216139105416
"government","take",0.319147347993354
"take","government",0.319147347993354
"bring","let",0.31669053807
"let","bring",0.31669053807
"country","citizen",0.314729812077614
"citizen","country",0.314729812077614
"life","government",0.31458984689295
"government","life",0.31458984689295
"need","do",0.314102348130292
"do","need",0.314102348130292
"place","american",0.312349547984446
"american","place",0.312349547984446
"do","be",0.310974992830862
"be","do",0.310974992830862
"life","great",0.309311698995937
"great","life",0.309311698995937
"know","take",0.307211791712688
"go","place",0.307211791712688
"place","go",0.307211791712688
"take","know",0.307211791712688
"country","begin",0.306877287311699
"begin","country",0.306877287311699
"many","country",0.306877287311699
"country","many",0.306877287311699
"people","government",0.306324315825834
"government","people",0.306324315825834
"freedom","world",0.304658997141566
"world","freedom",0.304658997141566
"year","citizen",0.303872750731546
"citizen","year",0.303872750731546
"people","much",0.3038218101251
"much","people",0.3038218101251
"work","people",0.3038218101251
"people","work",0.3038218101251
"make","country",0.303721955428465
"country","make",0.303721955428465
"come","world",0.303398906237672
"world","come",0.303398906237672
"need","have",0.302564656667357
"have","need",0.302564656667357
